risk_id,name,risk_type,description
ops-risk-data_loss-2,直接销毁备份数据，无法恢复,data_loss,直接销毁备份数据，无法恢复
ops-risk-availability-3,存储池损坏，所有备份不可用,availability,存储池损坏，所有备份不可用
ops-risk-availability-4,备份链断裂、元数据损坏、任务异常,availability,备份链断裂、元数据损坏、任务异常
ops-risk-availability-5,元数据错乱，系统无法启动,availability,元数据错乱，系统无法启动
ops-risk-data_loss-6,容器 / 持久化数据销毁，系统不可恢复,data_loss,容器 / 持久化数据销毁，系统不可恢复
ops-risk-availability-7,服务启动失败、端口冲突、参数异常,availability,服务启动失败、端口冲突、参数异常
ops-risk-availability-8,任务中断、副本异常、服务不稳定,availability,任务中断、副本异常、服务不稳定
ops-risk-availability-9,进程无读写权限，任务大面积失败,availability,进程无读写权限，任务大面积失败
ops-risk-availability-10,存储离线，备份 / 恢复中断,availability,存储离线，备份 / 恢复中断
ops-risk-security-11,服务无法启动、参数错乱、授权异常,security,服务无法启动、参数错乱、授权异常
ops-risk-availability-12,客户端 / 服务端失联、备份任务丢失,availability,客户端 / 服务端失联、备份任务丢失
ops-risk-availability-13,网络断连、客户端无法注册、任务失败,availability,网络断连、客户端无法注册、任务失败
ops-risk-availability-14,并发、性能、连接异常,availability,并发、性能、连接异常
ops-risk-availability-15,仅查看，不删不改,availability,仅查看，不删不改
ops-risk-availability-16,仅查看状态,availability,仅查看状态
ops-risk-availability-17,按标准流程操作,availability,按标准流程操作
ops-risk-availability-6,元数据错乱，系统不可用,availability,元数据错乱，系统不可用
ops-risk-availability-11,通信中断，客户端无法连接,availability,通信中断，客户端无法连接
ops-risk-data_loss-13,容器 / 数据销毁，服务不可恢复,data_loss,容器 / 数据销毁，服务不可恢复
ops-risk-data_loss-14,仅查看，不修改 / 不删除,data_loss,仅查看，不修改 / 不删除
pfmea-risk-对生产服务器的影响-2,对生产服务器的影响,availability,业务系统正常时，数据恢复动作(包含自动恢复)
pfmea-risk-备份失败-3,备份失败,availability,【非法操作】用户手动清理了虚拟机上AnyBackup备份保留的快照，会导致此虚拟机下次增量备份的时候转成完全备份。如果在备份过程中清理，则会导致虚拟机备份失败。
pfmea-risk-备份失败-4,备份失败,availability,CAS 定时备份cache限制为2GB，超过大小会自动kill掉进程
pfmea-risk-备份失败-5,备份失败,availability,CAS虚拟机漂移导致数据源紊乱
pfmea-risk-备份失败-6,备份失败,availability,lanfree挂载失败
pfmea-risk-无法备份-7,无法备份,availability,虚拟机名称中存在@字符无法备份，但是用户的所有虚拟机命名中均存在@字符
pfmea-risk-无法创建任务-8,无法创建任务,availability,集群下存在大量虚拟机（680台），CVM压力较大，在控制台创建任务查找数据源时超时，无法创建任务
pfmea-risk-性能差-9,性能差,availability,EOSS性能存在瓶颈
pfmea-risk-对生产服务器的影响-10,对生产服务器的影响,availability,OpenStack 常规备份场景下，需要在Cinder节点上部署AnyBackupCinderClient，会在Cinder配置文件中修改cinder-backup部分，会与导致其他备份软件有冲突。
