scenario_id,name,category,primary_object,description
ops-程序运行-2,程序运行-rm -rf 删除备份存储、重删目录、datastore、数,integrity,backup_system,直接销毁备份数据，无法恢复
ops-程序运行-3,程序运行-mkfs.ext4 /mkfs.xfs/dd 格式化、覆盖磁,availability,backup_system,存储池损坏，所有备份不可用
ops-程序运行-4,程序运行-kill -9 /pkill/killall 强杀产品核心进,operator,backup_system,备份链断裂、元数据损坏、任务异常
ops-程序运行-5,程序运行-内置数据库 update /delete/drop /tru,operator,backup_system,元数据错乱，系统无法启动
ops-程序运行-6,程序运行-docker rm / rmi / prune，kubect,operator,backup_system,容器 / 持久化数据销毁，系统不可恢复
ops-程序运行-7,程序运行-手动修改产品 .conf/.xml/.properties ,availability,backup_system,服务启动失败、端口冲突、参数异常
ops-程序运行-8,程序运行-随意 systemctl stop 产品服务,availability,backup_system,任务中断、副本异常、服务不稳定
ops-程序运行-9,程序运行-chmod /chown 修改产品目录 / 文件权限,security,backup_system,进程无读写权限，任务大面积失败
ops-程序运行-10,程序运行-手动 umount /mount 备份存储,availability,backup_system,存储离线，备份 / 恢复中断
ops-程序运行-11,程序运行-手动修改 Windows 注册表（产品相关项）,security,backup_system,服务无法启动、参数错乱、授权异常
ops-程序运行-12,程序运行-手动删除 / 导出 / 导入产品注册表项,operator,backup_system,客户端 / 服务端失联、备份任务丢失
ops-程序运行-13,程序运行-iptables /firewall-cmd 手动修改防火墙,availability,backup_system,网络断连、客户端无法注册、任务失败
ops-程序运行-14,程序运行-手动修改 sysctl.conf/limits.conf 内,performance,backup_system,并发、性能、连接异常
ops-程序运行-15,程序运行-ps /top/free /df/netstat /tail,operator,backup_system,仅查看，不删不改
ops-程序运行-16,程序运行-systemctl status 查看服务状态,operator,backup_system,仅查看状态
ops-程序运行-17,程序运行-官方脚本启停服务（backupSrv /backupAgen,operator,backup_system,按标准流程操作
ops-数据删除类-2,数据删除类-rm -rf 删除备份存储、重删目录、datastore、安,integrity,backup_system,直接破坏备份数据，无法恢复
ops-数据删除类-3,数据删除类-手动删除日志目录 /var/log/AnyBackup 相关,operator,backup_system,审计丢失、故障无法排查
ops-存储格式化-4,存储格式化-mkfs.ext4 mkfs.xfs dd 格式化 / 覆盖,availability,backup_system,存储池损坏，所有备份不可用
ops-进程操作-5,进程操作-kill -9 pkill killall 强杀产品核心进程,operator,backup_system,备份链断裂、元数据损坏
ops-数据库操作-6,数据库操作-内置数据库 update/delete/drop/trunc,availability,backup_system,元数据错乱，系统不可用
ops-配置修改-7,配置修改-手动修改 .conf/.xml/.properties 配置,availability,backup_system,服务启动失败、端口 / 参数异常
ops-服务启停-8,服务启停-随意 systemctl stop 产品相关服务,operator,backup_system,必须使用产品脚本规范启停
ops-权限修改-9,权限修改-chmod chown 修改产品目录 / 文件权限,security,backup_system,进程无权限，任务失败
ops-挂载卸载-10,挂载卸载-手动 umount/mount 备份存储介质,availability,backup_system,存储离线，备份 / 恢复中断
ops-网络防火墙-11,网络防火墙-iptables firewall-cmd 手动修改规则,availability,backup_system,通信中断，客户端无法连接
