rs_id,name,status,scenario_id,action_id,risk_id,likelihood_level,business_impact,data_impact,compliance_impact,notes,mitigation_pre,mitigation_pro
ops-2,程序运行: rm -rf 删除备份存储、重删目录、datastore、数据库文件,active,ops-程序运行-2,ops-cmd-2,ops-risk-data_loss-2,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,直接销毁备份数据，无法恢复,
ops-3,程序运行: mkfs.ext4 /mkfs.xfs/dd 格式化、覆盖磁盘,active,ops-程序运行-3,ops-cmd-3,ops-risk-availability-3,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,存储池损坏，所有备份不可用,
ops-4,程序运行: kill -9 /pkill/killall 强杀产品核心进程,active,ops-程序运行-4,ops-cmd-4,ops-risk-availability-4,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,备份链断裂、元数据损坏、任务异常,
ops-5,程序运行: 内置数据库 update /delete/drop /truncate,active,ops-程序运行-5,ops-cmd-5,ops-risk-availability-5,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,元数据错乱，系统无法启动,
ops-6,程序运行: docker rm / rmi / prune，kubectl delete pod/pvc,active,ops-程序运行-6,ops-cmd-6,ops-risk-data_loss-6,,5,,,适用版本:AB8 允许/禁止:禁止,容器 / 持久化数据销毁，系统不可恢复,
ops-7,程序运行: 手动修改产品 .conf/.xml/.properties 配置文件,active,ops-程序运行-7,ops-cmd-7,ops-risk-availability-7,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,服务启动失败、端口冲突、参数异常,
ops-8,程序运行: 随意 systemctl stop 产品服务,active,ops-程序运行-8,ops-cmd-8,ops-risk-availability-8,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,任务中断、副本异常、服务不稳定,
ops-9,程序运行: chmod /chown 修改产品目录 / 文件权限,active,ops-程序运行-9,ops-cmd-9,ops-risk-availability-9,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,进程无读写权限，任务大面积失败,
ops-10,程序运行: 手动 umount /mount 备份存储,active,ops-程序运行-10,ops-cmd-10,ops-risk-availability-10,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,存储离线，备份 / 恢复中断,
ops-11,程序运行: 手动修改 Windows 注册表（产品相关项）,active,ops-程序运行-11,ops-cmd-11,ops-risk-security-11,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,服务无法启动、参数错乱、授权异常,
ops-12,程序运行: 手动删除 / 导出 / 导入产品注册表项,active,ops-程序运行-12,ops-cmd-12,ops-risk-availability-12,,4,,,适用版本:AB7/AB8 允许/禁止:禁止,客户端 / 服务端失联、备份任务丢失,
ops-13,程序运行: iptables /firewall-cmd 手动修改防火墙规则,active,ops-程序运行-13,ops-cmd-13,ops-risk-availability-13,,3,,,适用版本:AB7/AB8 允许/禁止:禁止,网络断连、客户端无法注册、任务失败,
ops-14,程序运行: 手动修改 sysctl.conf/limits.conf 内核参数,active,ops-程序运行-14,ops-cmd-14,ops-risk-availability-14,,3,,,适用版本:AB7/AB8 允许/禁止:禁止,并发、性能、连接异常,
ops-15,程序运行: ps /top/free /df/netstat /tail 等查看命令,active,ops-程序运行-15,ops-cmd-15,ops-risk-availability-15,,2,,,适用版本:AB7/AB8 允许/禁止:允许,仅查看，不删不改,
ops-16,程序运行: systemctl status 查看服务状态,active,ops-程序运行-16,ops-cmd-16,ops-risk-availability-16,,2,,,适用版本:AB7/AB8 允许/禁止:允许,仅查看状态,
ops-17,程序运行: 官方脚本启停服务（backupSrv /backupAgent）,active,ops-程序运行-17,ops-cmd-17,ops-risk-availability-17,,2,,,适用版本:AB7/AB8 允许/禁止:允许,按标准流程操作,
ops-2-16,数据删除类: rm -rf 删除备份存储、重删目录、datastore、安装目录、数据库文件,active,ops-数据删除类-2,ops-cmd-2,ops-risk-data_loss-2,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,直接破坏备份数据，无法恢复,
ops-3-17,数据删除类: 手动删除日志目录 /var/log/AnyBackup 相关,active,ops-数据删除类-3,ops-cmd-3,ops-risk-availability-3,,5,,,适用版本:AB7/AB8 允许/禁止:禁止,审计丢失、故障无法排查,
